Position-x,Position-y,Velocity-x,Velocity-y
256,117,31.38885230198168,15.69442615099084
253,123,51.05623813156314,102.11247626312628
252,136,16.3970664122973,213.1618633598649
247,132,78.05854152398535,62.44683321918828
246,136,13.02186608381947,52.08746433527788
243,150,29.70533368272697,138.62489051939252
240,148,50.88795512543121,33.925303416954144
238,151,30.88020614761642,46.32030922142463
236,161,28.065025309552727,140.32512654776363
233,160,48.32054684049845,16.10684894683282
230,161,49.14604872066273,16.38201624022091
228,169,26.321330404769377,105.28532161907751
225,167,48.81070638892122,32.540470925947474
224,168,16.513462969451915,16.513462969451915
222,175,33.83471881062724,118.42151583719533
220,171,32.64697663738718,65.29395327477437
219,173,16.51021283798412,33.02042567596824
216,176,49.7116443713999,49.7116443713999
214,175,32.715731507084385,16.357865753542193
214,181,0.0,98.93548666095312
211,178,49.46715991335422,49.46715991335422
207,182,61.343775937402874,61.343775937402874
205,184,28.17484062955524,28.17484062955524
204,184,15.351604591239166,0.0
202,189,23.563174674513,58.9079366862825
199,187,28.778241548633808,19.185494365755872
198,193,10.970175525779613,65.82105315467768
194,191,50.00243198779238,25.00121599389619
194,195,0.0,55.77828607904676
191,193,39.26478875876466,26.176525839176442
189,197,19.424593903046162,38.849187806092324
185,196,47.13945817153968,11.78486454288492
184,201,14.625357848965942,73.12678924482971
182,199,27.26504132688051,27.26504132688051
180,202,24.792474132045527,37.18871119806829
177,203,36.66146687683374,12.22048895894458
176,204,9.564833881777735,9.564833881777735
174,207,23.583511855562865,35.3752677833443
172,207,27.08125401524421,0.0
170,209,33.65499311944089,33.65499311944089
167,211,38.16762569196936,25.445083794646244
165,212,22.646390419446192,11.323195209723096
163,213,26.34149772653051,13.170748863265255
161,215,31.742806544871115,31.742806544871115
159,215,26.461817998283955,0.0
158,215,13.848300453982667,0.0
156,216,33.58546496963194,16.79273248481597
154,217,32.749961935027976,16.374980967513988
151,219,49.47280018872375,32.981866792482506
149,219,31.06017565426028,0.0
145,221,54.715033476937926,27.357516738468963
144,222,13.664319944747241,13.664319944747241
141,224,49.99746494431222,33.33164329620814
140,225,15.902514113690565,15.902514113690565
137,226,38.30239715081503,12.767465716938343
135,226,28.563478308243923,0.0
133,226,29.259387927366078,0.0
129,228,44.210951272922756,22.105475636461378
127,228,29.425452504560123,0.0
126,229,16.9495591171027,16.9495591171027
122,230,65.71826550197814,16.429566375494534
119,230,49.2966162453134,0.0
118,231,15.510676222384935,15.510676222384935
115,232,39.99196531865394,13.330655106217979
113,233,17.3261070720423,8.66305353602115
111,233,26.146256319467387,0.0
108,234,49.540193862847154,16.513397954282386
105,234,46.06543585463092,0.0
104,235,14.114869344281605,14.114869344281605
102,235,26.609383029341792,0.0
98,237,66.23404473711223,33.117022368556114
97,237,14.74266874281637,0.0
95,237,26.78731367114154,0.0
94,237,12.776099399012468,0.0
